--May
1	0.36	0.27	0.24	0.24	0.16	0.15	0.24	0.17	0.21	0.26	0.2	0.25	0.41	0.81	0.51	0.25	0.32	0.77	0.37	0.34	0.29	0.27	0.35	0.43
2	0.33	0.3	0.36	0.2	0.16	0.18	0.25	0.26	0.29	0.26	0.16	0.15	0.21	0.34	0.41	0.48	0.57	0.54	0.54	0.42	0.38	0.5	0.65	0.61
3	0.55	0.5	0.47	0.41	0.44	0.48	0.36	0.41	0.27	0.26	0.18	0.15	0.26	0.24	0.25	0.33	0.3	0.38	0.32	0.19	0.62	0.48	0.47	0.5
4	0.47	0.3	0.23	0.2	0.29	0.21	0.15	0.15	0.26	0.27	0.44	0.24	0.59	0.52	0.4	0.43	0.45	0.45	0.97	1.52	0.53	0.51	0.49	0.43
5	0.61	0.45	0.29	0.19	0.18	0.21	0.27	0.39	0.17	0.16	0.2	0.72	0.7	0.33	0.35	0	0.28	2.27	1.06	0.35	0.21	0.39	0.47	0.39
6	0.49	0.34	0.19	0.18	0.18	0.25	0.28	0.29	0.27	0.16	0.2	0.28	0.28	0.18	0.21	0.3	0.38	0.33	0.27	0.2	0.18	0.43	0.4	0.36
7	0.46	0	0	0	0	0	0	0	0	0	0.18	0.18	0.15	0.29	0.29	0.32	0.28	0.2	0.28	0.29	0.62	0.54	0.46	0.4
8	0.33	0.2	0.27	0.29	0.28	0.2	0.2	0.43	0.32	0.29	0.27	0.18	0.18	0.18	0.28	0.42	0.36	0.28	0.2	0.19	0.31	0.43	0.47	0.4
9	0.3	0.2	0.26	0.29	0.28	0.2	0.19	0.43	0.24	0.35	0.35	0.29	0.25	0.23	0.22	0.45	0.42	0.41	0.33	0.38	0.32	0.38	0.55	0.43
10	0.33	0.33	0	0	0	0	0	0	0	0.93	0.59	0.19	0.18	0.21	0.32	0.41	0.26	0.26	0.29	0.41	0.44	0.37	0.39	0.32
11	0.31	0.3	0	0	0	0	0	0	0	0	0.51	0.55	0.54	0.47	0.41	0.39	0.41	0.66	0.33	0.26	0.35	0.37	0.42	0.47
12	0.35	0.32	0.31	0.23	0.32	0.31	0.26	0.3	0.28	0.21	0.28	0.31	0.37	0.78	0.34	0.34	0.42	0.66	0.43	0.32	0.21	0.4	0.43	0.46
13	0.41	0.28	0.19	0.18	0.18	0.27	0.28	0.3	0.27	0.18	0.22	0.29	0.24	0.18	0.21	0.35	0.38	0.37	0.31	0.26	0.29	0.42	0.69	0.49
14	0.5	0	0	0	0	0	0	0.28	0.42	0.21	0.2	0.2	0.28	0.3	0.33	0.35	0.29	0.32	0.37	0.42	0.39	0.41	0.34	0.44
15	0.24	0.31	0.31	0.27	0.2	0.2	0.21	0.4	0.43	0.25	0.2	0.2	0.2	0.33	0.38	0.37	0.3	0.32	0.33	0.42	0.33	0.28	0.33	0.46
16	0.44	0	0	0	0	0	0	0.22	0.39	0.27	0.2	0.17	0.24	0.26	0.24	0.32	0.28	0.29	0.2	0.18	0.34	0.43	0.37	0.42
17	0.42	0.46	0.36	0.25	0.22	0.22	0.21	0.37	0.41	0.31	0.21	0.21	0.21	0.23	0.35	0.55	0.29	0.4	0.31	0.5	0.42	0.35	0.72	0.45
18	1.11	0.52	0.33	0.21	0.21	0.2	0.27	0.26	0.51	3.14	1.23	0.53	0.2	0.15	0.18	0.22	0.23	0.15	0.18	0.27	0.25	0.15	0.15	0.15
19	0.25	0.38	0.96	0.2	0.27	0.17	0.17	0.15	0.25	0.21	0.16	0.64	0.78	0.41	0.37	0.34	0.38	0.38	1.28	0.45	0.36	2.56	1.29	0.34
20	0.32	0.35	0.25	0.18	0.18	0.24	0.15	0.62	0.28	0.26	0.16	0.16	0.2	0.21	0.21	0.31	0.35	0.26	0.29	0.3	0.36	0.23	0.31	0.33
21	0.39	0.23	0.19	0.22	0.25	0.19	0.17	0.33	0.27	0.19	0.17	0.24	0.15	0.24	0.36	0.41	0.28	0.32	0.34	0.23	0.31	0.38	0.41	0.37
22	0.28	0.35	0.32	0.17	0.16	0.23	0.18	0.24	0.27	0.25	0.17	0.17	0.24	0.55	0.38	0.36	0.34	0.26	0.3	0.36	0.33	0.37	1.55	0.48
23	0.41	0.31	0.24	0.21	0.29	0.2	0.18	0.46	0.4	0.17	0.18	0.23	0.27	0.18	0.21	0.32	0.35	0.26	0.27	0.32	0.39	0.4	0.49	1.29
24	0.54	0.32	0.23	0.22	0.29	0.28	0.18	0.29	0.31	0.3	0.28	0.26	0.2	0.19	0.3	0.42	0.36	0.29	0.28	0.34	0.39	0.42	0.44	0.37
25	0.34	0.34	0.36	0.29	0.2	0.18	0.18	0.3	0.33	0.49	0.47	0.21	0.58	0.3	0.26	0.19	0.19	0.29	0.29	0.21	0.18	0.18	0.32	0.41
26	0.39	0.31	0.33	0.32	0.3	0.24	0.18	0.24	0.32	0.28	0.24	0.32	0.67	0.73	1.15	0.65	0.33	0.3	0.46	0.63	0.61	0.34	1.31	0.47
27	0.41	0.38	0.2	0.19	0.18	0.28	0.27	0.61	0.33	0.2	0.29	0.22	0.18	0.18	0.3	0.34	0.25	0.25	0.37	0.35	0.27	0.36	0.41	0.53
28	0.37	0.28	0.28	0.25	0.29	0.18	0.15	0.31	0.37	0.23	0.18	0.15	0.27	0.21	0.2	0.34	0.36	0.39	0.26	0.25	0.4	0.51	0.47	0.39
29	0.31	0.34	0.33	0.24	0.19	0.2	0.28	0.47	0.44	0.21	0.3	0.21	0.17	0.25	0.36	0.33	0.28	0.38	0.42	0.23	0.21	0.5	0.49	0.38
30	0.32	0.29	0.34	0.29	0.19	0.18	0.17	0.58	0.45	0.31	0.28	0.35	0.4	0.45	0.49	0.64	0.69	0.57	0.51	0.82	0.58	0.53	0.5	0.57
31	1.46	0.56	0.53	0.39	0.28	0.3	0.35	0.61	0.39	0.31	0.54	0.46	0.35	0.32	0.39	0.46	0.39	0.42	0.41	0.26	0.56	0.44	0.6	0.45
